"IMPORTANT NOTE: the x,y is based on the following projected Coordinate System: NAD_1983_StatePlane_Texas_South_Central_FIPS_4204_Feet (Geographic Coordinate System: GCS_North_American_1983)",,
,,
Column Name,Description,Share with Public
OBJECTID,"An ID generated by our GIS system; this may change as data is refreshed - use the ""ID"" column instead",
ID,The system ID of the study; this is unique and will remain the same as data is refreshed,Y
STREETNAME,The name of the street on which the traffic device was placed to perform the traffic study,Y
SEGMENT,The portion of the street the traffic study is intending to measure,Y
STREETADDRESS,The street house address where the device was placed,Y
FILENAME,The PDF file associated with the traffic study; these can be viewed through the GIS Interactive Traffic Counts Map: http://www.gims.houstontx.gov/gims/default.aspx?app_id=trafficcounts,Y
PERCENTILESPEED85,85% of the traffic was traveling at a certain speed.,Y
OUTCOME,Equals Success as the City only publishes successful traffic studies,Y
COLLECTIONTYPE,"The type of study being performed. Studies include:
- Approach (intersection volume)
- Proactive studies (Classification, Local Street ADT, Major Thoroughfare ADT in order to better inform the Major Thoroughfare and Freeway Plan)
- Citizen requested surveys through the Neighborhood Traffic Management Program to measure the effectiveness of a traffic control device (Pre-NTMP is prior to the placement of a sign, speed bump, or other device and Post-NTMP attempts to measure the success of the control device)
- Other traffic control studies as needed",Y
X,The ESRI projection system X of the service request,Y
Y,The ESRI projection system Y of the service request,Y
ADT,The City's estimation of the Average Daily Traffic Count,Y
YEAR,The year of the traffic study,Y
PRE_NTMP_ADT,,Y
POST_NTMP_ADT,"Populated for Post-NTMP studies only; the average daily traffic count after the traffic control device (speed hump, stop sign, etc.) was installed",Y
PRE_NTMP_SPEED,,Y
POST_NTMP_SPEED,"Populated for Post-NTMP studies only; the  average speed after the traffic control device (speed hump, stop sign, etc.) was installed",Y
POINT_X,Decimal Degrees longitude,Y
POINT_Y,Decimal Degrees latitude,Y
Shape,,N
